Strain,Pathotype,NCBI ID,NCBI Full,Taxon ID,ORFs,Model Name,Genes,Reactions,Metabolites,Comments
Escherichia coli LF82,InPec: AIEC,CU651637,CU651637.1,591946,4376,iLF82_1304,1304,2728,1941,
Escherichia coli O83:H1 str. NRG 857C,InPec: AIEC,CP001855,CP001855.1,685038,4429,iNRG857_1313,1313,2737,1946,
Escherichia coli UM146,InPec: AIEC,CP002167,CP002167.1,869729,4650,iUMN146_1321,1321,2737,1945,
Escherichia coli APEC O1,ExPec: APEC,CP000468,NC_008563.1,405955,4430,iAPECO1_1312,1312,2737,1945,
Escherichia coli ATCC 8739,Commensal,CP000946,CP000946.1,481805,4199,iEcolC_1368,1368,2770,1972,
Escherichia coli B str. REL606,Commensal,CP000819,CP000819.1,413997,4204,iECB_1328,1328,2750,1954,
Escherichia coli BL21(DE3) BL21-Gold(DE3)pLysS AG,Commensal,CP001665,CP001665.1,469008,4228,iECBD_1354,1354,2750,1955,
Escherichia coli BL21(DE3) AM946981,Commensal,AM946981,AM946981.2,469008,4204,iB21_1397,1397,2733,1943,
Escherichia coli BL21(DE3) CP001509,Commensal,CP001509,CP001509.3,469008,4157,iECD_1391,1391,2731,1943,
Escherichia coli BW2952,Commensal,CP001396,NC_012759.1,595496,4084,iBWG_1329,1329,2743,1950,
Escherichia coli DH1,Commensal,CP001637,CP001637.1,536056,4160,iEcDH1_1363,1363,2752,1950,
Escherichia coli DH1 ME8569,Commensal,AP012030,AP012030.1,536056,4260,iECDH1ME8569_1439,1439,2756,1951,
Escherichia coli ED1a,Commensal,CU928162,CU928162.2,585397,4915,iECED1_1282,1282,2708,1930,
Escherichia coli HS,Commensal,CP000802,CP000802.1,331112,4377,iEcHS_1320,1320,2755,1966,
Escherichia coli IAI1,Commensal,CU928160,CU928160.2,585034,4349,iECIAI1_1343,1343,2769,1971,"Model has no chemical formulas, can salvage from iML1515/other models"
Escherichia coli KO11FL,Commensal,CP002516,CP002516.1,595495,4533,iEKO11_1354,1354,2780,1975,
Escherichia coli SE11,Commensal,AP009240,AP009240.1,409438,4675,iECSE_1348,1348,2770,1958,
Escherichia coli SE15,Commensal,AP009378,AP009378.1,431946,4338,iECSF_1327,1327,2746,1952,
Escherichia coli str. K-12 substr. DH10B,Commensal,CP000948,CP000948.1,316385,4128,iECDH10B_1368,1368,2744,1948,
Escherichia coli str. K-12 substr. MG1655,Commensal,U00096,NC_000913.3,511145,4320,iJO1366,1366,2645,1866,"Use iML1515 instead"
Escherichia coli str. K-12 substr. W3110,Commensal,AP009048,NC_007779.1,316407,4217,iY75_1357,1357,2761,1954,"Don't use, model has no GPRs"
Escherichia coli W CP002185,Commensal,CP002185,CP002185.1,566546,4571,iECW_1372,1372,2783,1976,
Escherichia coli W,Commensal,CP002967,CP002185.1,566546,4608,iWFL_1372,1372,2783,1976,
Escherichia coli 042,InPec: EAEC,FN554766,FN554766.1,216592,4886,iEC042_1314,1314,2716,1927,
Escherichia coli 55989,InPec: EAEC,CU928145,CU928145.2,585055,4759,iEC55989_1330,1330,2758,1954,
Escherichia coli O103:H2 str. 12009,InPec: EHEC,AP010958,AP010958.1,585395,5054,iECO103_1326,1326,2760,1959,
Escherichia coli O111:H- str. 11128,InPec: EHEC,AP010960,AP010960.1,585396,4972,iECO111_1330,1330,2762,1960,
Escherichia coli O157:H7 str. EC4115,InPec: EHEC,CP001164,CP001164.1,444450,5315,iECH74115_1262,1262,2697,1918,
Escherichia coli O157:H7 EDL933,InPec: EHEC,AE005174,AE005174.2,155864,5298,iZ_1308,1308,2724,1924,
Escherichia coli O157:H7 str. Sakai,InPec: EHEC,BA000007,BA000007.2,386585,5230,iECs_1301,1301,2723,1924,
Escherichia coli O157:H7 str. TW14359,InPec: EHEC,CP001368,CP001368.1,544404,5255,iECSP_1301,1301,2714,1921,
Escherichia coli O26:H11 str. 11368,InPec: EHEC,AP010953,AP010953.1,573235,5364,iECO26_1355,1355,2782,1966,
Escherichia coli O55:H7 str. CB9615,InPec: EHEC,CP001846,CP001846.1,701177,5014,iG2583_1286,1286,2706,1919,
Escherichia coli SMS-3-5,ExPec: Envisolate,CP000970,CP000970.1,439855,4742,iEcSMS35_1347,1347,2749,1950,
Escherichia coli O127:H6 str. E2348/69,InPec: EPEC,FM180568,NC_011601.1,574521,4552,iE2348C_1286,1286,2705,1920,
Escherichia coli E24377A,InPec: ETEC,CP000800,CP000800.1,331111,4749,iEcE24377_1341,1341,2765,1975,
Escherichia coli ETEC H10407,InPec: ETEC,FN649414,FN649414.1,316401,4763,iETEC_1333,1333,2758,1965,
Escherichia coli UMNK88,InPec: ETEC,CP002729,CP002729.1,696406,5118,iUMNK88_1353,1353,2779,1972,
Escherichia coli IHE3034,ExPec,CP001969,CP001969.1,714962,4757,iECOK1_1307,1307,2731,1944,
Escherichia coli S88,ExPec,CU928161,CU928161.2,585035,4692,iECS88_1305,1305,2731,1945,
Escherichia coli 536,ExPec: UPEC,CP000247,CP000247.1,362663,4619,iECP_1309,1309,2741,1944,
Escherichia coli ABU 83972,ExPec: UPEC,CP001671,CP001671.1,655817,4793,iECABU_c1320,1320,2733,1945,
Escherichia coli CFT073,ExPec: UPEC,AE014075,NC_004431.1,199310,5369,ic_1306,1306,2728,1939,
